title,authors,keywords,abstract
,"Bahree, Amit",prompt engineering;model fine tuning;enterprise;safety;ethics;integration;RAG;multi-modality;LLMs;hallucinations;jailbreaks;architectural patterns;ChatGPT;Bard;Copilot,"Generative AI can transform your business by streamlining the process of creating text, images, and code. This book will show you how to get in on the action! Generative AI in Action is the comprehensive and concrete guide to generative AI you’ve been searching for. It introduces both AI’s fundamental principles and its practical applications in an enterprise context—from generating text and images for product catalogs and marketing campaigns, to technical reporting, and even writing software. Inside, author Amit Bahree shares his experience leading Generative AI projects at Microsoft for nearly a decade, starting well before the current GPT revolution. Inside Generative AI in Action you will find: A practical overview of of generative AI applications Architectural patterns, integration guidance, and best practices for generative AI The latest techniques like RAG, prompt engineering, and multi-modality The challenges and risks of generative AI like hallucinations and jailbreaks How to integrate generative AI into your business and IT strategy Generative AI in Action is full of real-world use cases for generative AI, showing you where and how to start integrating this powerful technology into your products and workflows. You’ll benefit from tried-and-tested implementation advice, as well as application architectures to deploy GenAI in production at enterprise scale."
,"Sawarkar, Kunal",,"Build, train, and deploy deep learning models quickly and accurately to improve your productivity using PyTorch Lightning WrapperKey FeaturesBecome well-versed with PyTorch Lightning and learn how to implement it in various applicationsSpeed up your research using PyTorch Lightning by creating new loss functions, and architecturesTrain and build new DL applications for images, audio, video, structured and unstructured dataBook DescriptionBuilding and implementing deep learning (DL) is becoming a key skill for those who want to be at the forefront of progress.But with so much information and complex study materials out there, getting started with DL can feel quite overwhelming. Written by an AI thought leader, Deep Learning with PyTorch Lightning helps researchers build their first DL models quickly and easily without getting stuck on the complexities. With its help, you’ll be able to maximize productivity for DL projects while ensuring full flexibility – from model formulation to implementation. Throughout this book, you’ll learn how to configure PyTorch Lightning on a cloud platform, understand the architectural components, and explore how they are configured to build various industry solutions. You’ll build a neural network architecture, deploy an application from scratch, and see how you can expand it based on your specific needs, beyond what the framework can provide. In the later chapters, you’ll also learn how to implement capabilities to build and train various models like Convolutional Neural Nets (CNN), Natural Language Processing (NLP), Time Series, Self-Supervised Learning, Semi-Supervised Learning, Generative Adversarial Network (GAN) using PyTorch Lightning. By the end of this book, you’ll be able to build and deploy DL models with confidence.What you will learnCustomize models that are built for different datasets, model architecturesUnderstand a variety of DL models from image recognition, NLP to time seriesCreate advanced DL models to write poems (Semi-Supervised) or create fake images (GAN)Learn to train on unlabelled images using Self-Supervised Contrastive LearningLearn to use pre-trained models using transfer learning to save computeMake use of out-of-the-box SOTA model architectures using Lightning FlashExplore techniques for model deployment \& scoring using ONNX formatRun and tune DL models in a multi-GPU environment using mixed-mode precisionsWho this book is forIf you’re a data scientist curious about deep learning but don't know where to start or feel intimidated by the complexities of large neural networks, then this book is for you. Expert data scientists making the transition from other DL frameworks to PyTorch will also find plenty of useful information in this book, as will researchers interested in using PyTorch Lightning as a reference guide. To get started, you’ll need a solid grasp on Python; the book will teach you the rest"
,"Guilmette, Aaron",,"Unlock the untapped potential of ChatGPT, CoPilot, and Azure AI services by integrating them with the Microsoft Power PlatformKey FeaturesGain insights into the latest AI technologies and their business applicationsUse generative AI to build apps, workflows, and chatbotsLearn how to integrate AI services to automate work and deliver apps for specific business needsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn this AI era, employing leading machine learning and AI models such as ChatGPT for responding to customer feedback and prototyping applications is crucial to drive business success in the competitive market. This book is an indispensable guide to integrating cutting-edge technology into business operations and leveraging AI to analyze sentiment at scale, helping free up valuable time to enhance customer relationships. Immerse yourself in the future of AI-enabled application development by working with Power Automate, Power Apps, and the new Copilot Studio. With this book, you’ll learn foundational AI concepts as you explore the extensive capabilities of the low-code Power Platform. You’ll see how Microsoft's advanced machine learning technologies can streamline common business tasks such as extracting key data elements from customer documents, reviewing customer emails, and validating passports and drivers’ licenses. The book also guides you in harnessing the power of generative AI to expedite tasks like creating executive summaries, building presentations, and analyzing resumes. You’ll build apps using natural language prompting and see how ChatGPT can be used to power chatbots in your organization. By the end of this book, you’ll have charted your path to developing your own reusable AI automation patterns to propel your business operations into the future.What you will learnInteract with ChatGPT using connectors and HTTP callsTrain AI models to identify the key elements of documentsUse generative AI to answer questions about organizational contentLeverage AI image recognition services to describe picturesUse generative AI tools to help build workflows and appsBuild chatbots using the new Copilot StudioAnalyze customer feedback using AI sentiment analysis tools such as AI BuilderWho this book is forIf you’re interested in exploring the capabilities of modern AI technologies in the workplace, this book is for you. Specially tailored for IT professionals, developers, business leaders, human resources administrators, managers, and entrepreneurs–anyone aspiring to become a productivity rockstar will find this book helpful for extending their skill set through hands-on exercises. The content is beginner-friendly, assuming no knowledge of machine learning or artificial intelligence concepts, making it a perfect starting point for newcomers to the field."
,"Hurbans, Rishal",artificial;intelligence;algorithms;ai;neural;networks;data;scientists;algebra;calculus,"Grokking Artificial Intelligence Algorithms is a fully-illustrated and interactive tutorial guide to the different approaches and algorithms that underpin AI. Written in simple language and with lots of visual references and hands-on examples, you'll learn the concepts, terminology, and theory you need to effectively incorporate AI algorithms into your applications. And to make sure you truly grok as you go, you'll use each algorithm in practice with creative coding exercises—including building a maze puzzle game, performing diamond data analysis, and even exploring drone material optimization."
,"Singh, Paul and Karuparti, Anurag and Maeda, John",,"Explore Generative AI, the engine behind ChatGPT, and delve into topics like LLM-infused frameworks, autonomous agents, and responsible innovation, to gain valuable insights into the future of AIKey FeaturesGain foundational GenAI knowledge and understand how to scale GenAI/ChatGPT in the cloudUnderstand advanced techniques for customizing LLMs for organizations via fine-tuning, prompt engineering, and responsible AIPeek into the future to explore emerging trends like multimodal AI and autonomous agentsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionGenerative artificial intelligence technologies and services, including ChatGPT, are transforming our work, life, and communication landscapes. To thrive in this new era, harnessing the full potential of these technologies is crucial. Generative AI for Cloud Solutions is a comprehensive guide to understanding and using Generative AI within cloud platforms. This book covers the basics of cloud computing and Generative AI/ChatGPT, addressing scaling strategies and security concerns. With its help, you’ll be able to apply responsible AI practices and other methods such as fine-tuning, RAG, autonomous agents, LLMOps, and Assistants APIs. As you progress, you’ll learn how to design and implement secure and scalable ChatGPT solutions on the cloud, while also gaining insights into the foundations of building conversational AI, such as chatbots. This process will help you customize your AI applications to suit your specific requirements. By the end of this book, you’ll have gained a solid understanding of the capabilities of Generative AI and cloud computing, empowering you to develop efficient and ethical AI solutions for a variety of applications and services.What you will learnGet started with the essentials of generative AI, LLMs, and ChatGPT, and understand how they function togetherUnderstand how we started applying NLP to concepts like transformersGrasp the process of fine-tuning and developing apps based on RAGExplore effective prompt engineering strategiesAcquire insights into the app development frameworks and lifecycles of LLMs, including important aspects of LLMOps, autonomous agents, and Assistants APIsDiscover how to scale and secure GenAI systems, while understanding the principles of responsible AIWho this book is forThis artificial intelligence book is for aspiring cloud architects, data analysts, cloud developers, data scientists, AI researchers, technical business leaders, and technology evangelists looking to understanding the interplay between GenAI and cloud computing. Some chapters provide a broad overview of GenAI, which are suitable for readers with basic to no prior AI experience, aspiring to harness AI's potential. Other chapters delve into technical concepts that require intermediate data and AI skills. A basic understanding of a cloud ecosystem is required to get the most out of this book."
,"Kwatra, Shikhar and Kaushik, Bunny",,"Become proficient in Amazon Bedrock by taking a hands-on approach to building and scaling generative AI solutions that are robust, secure, and compliant with ethical standardsKey FeaturesLearn the foundations of Amazon Bedrock from experienced AWS Machine Learning Specialist ArchitectsMaster the core techniques to develop and deploy several AI applications at scaleGo beyond writing good prompting techniques and secure scalable frameworks by using advanced tips and tricksPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionThe concept of generative artificial intelligence has garnered widespread interest, with industries looking to leverage it to innovate and solve business problems. Amazon Bedrock, along with LangChain, simplifies the building and scaling of generative AI applications without needing to manage the infrastructure. Generative AI with Amazon Bedrock takes a practical approach to enabling you to accelerate the development and integration of several generative AI use cases in a seamless manner. You’ll explore techniques such as prompt engineering, retrieval augmentation, fine-tuning generative models, and orchestrating tasks using agents. The chapters take you through real-world scenarios and use cases such as text generation and summarization, image and code generation, and the creation of virtual assistants. The latter part of the book shows you how to effectively monitor and ensure security and privacy in Amazon Bedrock. By the end of this book, you’ll have gained a solid understanding of building and scaling generative AI apps using Amazon Bedrock, along with various architecture patterns and security best practices that will help you solve business problems and drive innovation in your organization.What you will learnExplore the generative AI landscape and foundation models in Amazon BedrockFine-tune generative models to improve their performanceExplore several architecture patterns for different business use casesGain insights into ethical AI practices, model governance, and risk mitigation strategiesEnhance your skills in employing agents to develop intelligence and orchestrate tasksMonitor and understand metrics and Amazon Bedrock model responseExplore various industrial use cases and architectures to solve real-world business problems using RAGStay on top of architectural best practices and industry standardsWho this book is forThis book is for generalist application engineers, solution engineers and architects, technical managers, ML advocates, data engineers, and data scientists looking to either innovate within their organization or solve business use cases using generative AI. A basic understanding of AWS APIs and core AWS services for machine learning is expected."
,"Shargorodsky, Dmitry",,"Streamline your business operations by leveraging AI across key functions using practical examples and insightful case studiesKey FeaturesUncover the practical applications of Dynamics 365 AI across sales, customer service, marketing, and financeExplore Dynamics 365’s integration with advanced AI tools such as OpenAI, Azure Open AI, and MS CopilotLearn from real-world examples and case studiesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIf there is one hot topic being discussed in every boardroom meeting today, it’s AI. With Microsoft Dynamics 365 AI proving to be a game-changer, it’s essential for business professionals to master this tool. Microsoft Dynamics 365 AI for Business Insights will help you harness AI across key business functions to streamline processes and enhance customer experiences. Written by a seasoned professional with 15+ years of experience, this book guides you through Dynamics 365 AI’s practical applications across sales, customer service, marketing, and finance departments. You'll learn how to enhance customer experiences, streamline sales processes, optimize marketing strategies, and improve financial forecasting. This book also explores the integration of generative AI tools such as OpenAI Service, Azure Open AI, language models, and Microsoft Copilot within the Dynamics 365 ecosystem. With real-world examples, case studies, and expert insights, you’ll discover the transformative potential of this powerful toolkit. As well as driving sales insights and implementing fraud protection, you’ll explore emerging AI trends, Microsoft's roadmap for Dynamics 365 AI, and the upcoming features. By the end, you’ll be all set to unlock new growth opportunities using Dynamics 365 AI.What you will learnOvercome common challenges in Dynamics 365 AI implementation with easeDelve into the practical applications of advanced generative AI toolsIntegrate cutting-edge tools such as OpenAI Service, Azure Open AI, language models, and Microsoft Copilot with Dynamics 365 AIDerive insights from real-world examples of successful AI implementationDiscover best practices and strategies for leveraging AI to find useful business insights and enhance operationsExplore Microsoft's roadmap for Dynamics 365 AI and the forthcoming trends in AI for businessWho this book is forThis book is for Dynamics 365 consultants, architects, and IT managers, willing to implement AI in their organizations. Business consultants advising on business technology, especially those focused on Microsoft Dynamics 365, will find it useful for enhancing their skills. A basic understanding of Microsoft Dynamics 365 and its suite of business applications will be beneficial as the book’s focus is on implementing the tool’s AI modules. Familiarity with the principles of artificial intelligence and how it is applied in a business context will also be helpful."
,"Peters, Mark and Pallapa, Gautham and Watters, James",,"Unlock the full potential of enterprise platforms and drive the future of your business by incorporating cutting-edge gen AI techniquesKey FeaturesApply proven frameworks and real-world strategies to design scalable, high-performing platformsIntegrate AI-powered observability, security, compliance into your platform using best practicesWork through hands-on tutorials and case studies to implement platform engineering successfully for measurable business impactPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionModern organizations must deliver software faster, ensure platform stability, and adopt AI, all while reducing operational complexity and cost. But fragmented tooling, scaling challenges, and limited developer enablement hinder progress – driving engineering leaders to seek a cohesive strategy for efficiency, resilience, and innovation. In this book, Dr. Mark Peters and Dr. Gautham Pallapa join forces to resolve these complexities by showing you how to build scalable platforms, operate them efficiently through automation and AI, and optimize software delivery pipelines for continuous value. The chapters cover core principles, including platform architecture, self-service enablement, and developer experience. You’ll explore proven frameworks for cultural transformation, strategic alignment, and continuous improvement, along with 10 bold predictions about the future of platform engineering to help you anticipate trends and lead through change with confidence. By the end of this book, you’ll be able to design and implement resilient, intelligent platforms, accelerate innovation, and drive measurable business impact, positioning you and your organization as leaders in the next era of platform engineering.What you will learnDiscover how modern platform engineering drives scalability and sustainable business valueDesign and implement internal developer platforms with self-service, golden paths, and AI automationIntegrate AI and machine learning for predictive observability and smart workload optimizationUse leadership and cultural transformation frameworks to build high-performance platform teamsMeasure and optimize platform success through KPIs and FinOps strategiesAccelerate software delivery by unifying existing tools and workflows into cohesive, scalable platformsWho this book is forThis book is for experienced professionals across IT, product, and business functions who are responsible for building, operating, optimizing, or scaling platform capabilities. It is tailored for platform engineers, DevOps engineers, software developers, IT operations teams, transformation leaders, and business executives looking to align platform strategy with organizational goals. A solid understanding of DevOps practices, cloud-native technologies, and software development lifecycles, as well as familiarity with CI/CD, infrastructure automation, and modern application deployment is a must."
,"Dell, Dr. Scott and Akpan, Dr. Mfon",,"Elevate your accounting skills by applying ChatGPT across audit, tax, consulting, and beyondKey FeaturesLeverage the impact of AI on modern accounting, from audits to corporate governanceUse ChatGPT to streamline your accounting tasks with practical hands-on techniquesUnderstand the impact of AI in accounting through in-depth chapters covering various domains, including ethical considerations and data analyticsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn the fast-paced AI world, accounting professionals are increasingly challenged by the complexities of AI. Many struggle to integrate these advanced tools into their workflows, leading to a sense of overwhelm. ChatGPT for Accounting bridges this gap by not only simplifying AI concepts but also offering practical insights for its application in various accounting domains. This book takes you from the foundational principles of Generative Artificial Intelligence (GAI) to its practical applications in audits, tax planning, practice management, fraud examination, financial analysis, and beyond. Each chapter equips you with essential skills, showing you how AI can revolutionize internal control systems, enhance recruitment processes, streamline marketing plans, optimize tax strategies, and boost efficiency in audits. You’ll then advance to exploring the role of AI in forensic accounting, financial analysis, managerial accounting, and corporate governance, while also addressing ethical and security implications. Concluding with a reflective outlook on the promises and challenges of AI, you’ll gain a holistic view of the future of accounting. By the end of this book, you’ll be equipped with the knowledge to harness the power of AI effectively and ethically, transforming your accounting practice and staying ahead in the ever-evolving landscape.What you will learnUnderstand the fundamentals of AI and its impact on the accounting sectorGrasp how AI streamlines and enhances the auditing process for high accuracyUncover the potential of AI in simplifying tax processes and ensuring complianceGet to grips with using AI to identify discrepancies and prevent financial fraudMaster the art of AI-powered data analytics for informed decision-makingGain insights into seamlessly integrating AI tools within existing accounting systemsStay ahead in the evolving landscape of AI-led accounting tools and practicesWho this book is forWhether you're a seasoned accounting professional, a C-suite executive, a business owner, an accounting educator, a student of accounting, or a technology enthusiast, this book provides the knowledge and insights you need to navigate the changing landscape in applying GAI technology to make a difference in all you do. An appreciation and understanding of the accounting process and concepts will be beneficial."
,"Kolosnjaji, Bojan and Xiao, Huang and Xu, Peng and Zarras, Apostolis",,"Gain well-rounded knowledge of AI methods in cybersecurity and obtain hands-on experience in implementing them to bring value to your organizationKey FeaturesFamiliarize yourself with AI methods and approaches and see how they fit into cybersecurityLearn how to design solutions in cybersecurity that include AI as a key featureAcquire practical AI skills using step-by-step exercises and code examplesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionArtificial intelligence offers data analytics methods that enable us to efficiently recognize patterns in large-scale data. These methods can be applied to various cybersecurity problems, from authentication and the detection of various types of cyberattacks in computer networks to the analysis of malicious executables. Written by a machine learning expert, this book introduces you to the data analytics environment in cybersecurity and shows you where AI methods will fit in your cybersecurity projects. The chapters share an in-depth explanation of the AI methods along with tools that can be used to apply these methods, as well as design and implement AI solutions. You’ll also examine various cybersecurity scenarios where AI methods are applicable, including exercises and code examples that’ll help you effectively apply AI to work on cybersecurity challenges. The book also discusses common pitfalls from real-world applications of AI in cybersecurity issues and teaches you how to tackle them. By the end of this book, you’ll be able to not only recognize where AI methods can be applied, but also design and execute efficient solutions using AI methods.What you will learnRecognize AI as a powerful tool for intelligence analysis of cybersecurity dataExplore all the components and workflow of an AI solutionFind out how to design an AI-based solution for cybersecurityDiscover how to test various AI-based cybersecurity solutionsEvaluate your AI solution and describe its advantages to your organizationAvoid common pitfalls and difficulties when implementing AI solutionsWho this book is forThis book is for machine learning practitioners looking to apply their skills to overcome cybersecurity challenges. Cybersecurity workers who want to leverage machine learning methods will also find this book helpful. Fundamental concepts of machine learning and beginner-level knowledge of Python programming are needed to understand the concepts present in this book. Whether you’re a student or an experienced professional, this book offers a unique and valuable learning experience that will enable you to protect your network and data against the ever-evolving threat landscape."
,"Clinton, David",models;text;code;images;custom;API;ChatGPT;Copilot;OpenAI;LLMs;large language models;video;voice;prompts;business intelligence;analytics;productivity;interactive,"The last book on AI you’ll ever need. We swear! AI technology moves so fast that this book is probably already out of date! But don’t worry—The Complete Obsolete Guide to Generative AI is still an essential read for anyone who wants to make generative AI into a tool rather than a toy. It shows you how to get the best out of AI no matter what changes come in the future. You’ll be able to use common automation and scripting tools to take AI to a new level, and access raw (and powerful) GPT models via API. Inside The Complete Obsolete Guide to Generative AI you will find: Just enough background info on AI! What an AI model is how it works Ways to create text, code, and images for your organization's needs Training AI models on your local data stores or on the internet Business intelligence and analytics uses for AI Building your own custom AI models Looking ahead to the future of generative AI Where to get started? How about creating exciting images, video, and even audio with AI. Need more? Learn to harness AI to speed up any everyday work task, including writing boilerplate code, creating specialized documents, and analyzing your own data. Push beyond simple ChatGPT prompts! Discover ways to double your productivity and take on projects you never thought were possible! AI—and this book—are here to show you how."
,"Bourne, Keith and Es, Shahul",,"Leverage cutting-edge generative AI techniques such as RAG to realize the potential of your data and drive innovation as well as gain strategic advantageKey FeaturesOptimize data retrieval and generation using vector databasesBoost decision-making and automate workflows with AI agentsOvercome common challenges in implementing real-world RAG systemsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionGenerative AI is helping organizations tap into their data in new ways, with retrieval-augmented generation (RAG) combining the strengths of large language models (LLMs) with internal data for more intelligent and relevant AI applications. The author harnesses his decade of ML experience in this book to equip you with the strategic insights and technical expertise needed when using RAG to drive transformative outcomes. The book explores RAG’s role in enhancing organizational operations by blending theoretical foundations with practical techniques. You’ll work with detailed coding examples using tools such as LangChain and Chroma’s vector database to gain hands-on experience in integrating RAG into AI systems. The chapters contain real-world case studies and sample applications that highlight RAG’s diverse use cases, from search engines to chatbots. You’ll learn proven methods for managing vector databases, optimizing data retrieval, effective prompt engineering, and quantitatively evaluating performance. The book also takes you through advanced integrations of RAG with cutting-edge AI agents and emerging non-LLM technologies. By the end of this book, you’ll be able to successfully deploy RAG in business settings, address common challenges, and push the boundaries of what’s possible with this revolutionary AI technique.What you will learnUnderstand RAG principles and their significance in generative AIIntegrate LLMs with internal data for enhanced operationsMaster vectorization, vector databases, and vector search techniquesDevelop skills in prompt engineering specific to RAG and design for precise AI responsesFamiliarize yourself with AI agents' roles in facilitating sophisticated RAG applicationsOvercome scalability, data quality, and integration issuesDiscover strategies for optimizing data retrieval and AI interpretabilityWho this book is forThis book is for AI researchers, data scientists, software developers, and business analysts looking to leverage RAG and generative AI to enhance data retrieval, improve AI accuracy, and drive innovation. It is particularly suited for anyone with a foundational understanding of AI who seeks practical, hands-on learning. The book offers real-world coding examples and strategies for implementing RAG effectively, making it accessible to both technical and non-technical audiences. A basic understanding of Python and Jupyter Notebooks is required."
