title,authors,keywords,abstract
,"Anderson, Jarrod and Winter, Jeff",,"Empower your leadership with this detailed guide for CAIOs and business leaders to drive innovation, address complex challenges, and implement ethical AI strategiesKey FeaturesExplore practical frameworks for effective AI team building and team managementImplement and Optimize AI Agents and Agentic Systems through design and implementation of AI agents.Gain actionable advice for leveraging AI to drive innovation and strategic growthPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionChief Artificial Intelligence Officers (CAIOs) are now imperative for businesses, enabling organizations to achieve strategic goals and unlock transformative opportunities through the power of AI. By building intelligent systems, training models to drive impactful decisions, and creating innovative applications, they empower organizations to thrive in an AI-driven world. Written by Jarrod Anderson, Chief AI Officer at SYRV.AI, this book bridges the gap between visionary leadership and practical execution. This handbook reimagines AI leadership for today’s fast-paced environment, leveraging predictive, deterministic, generative, and agentic AI to address complex challenges and foster innovation. It provides CAIOs with the strategies to develop transformative AI initiatives, build and lead elite teams, and adopt AI responsibly while maintaining compliance. From shaping impactful solutions to achieving measurable business outcomes, this guide offers a roadmap for making AI your organization’s competitive edge. By the end of this book, you’ll have the knowledge and tools to excel as a Chief AI Officer, driving innovation, strategic growth, and lasting success for your organization.What you will learnDevelop and execute AI strategy as a CAIO, ensuring ethical complianceMaster agile AI project management from ideation to deploymentApply deterministic and probabilistic AI concepts through case studiesDesign and implement AI agents for autonomous system optimizationCreate human-centered AI systems using proven design principlesEnhance AI security through data privacy and model protection measuresWho this book is forThis book is for chief AI officers, business leaders, AI and data science professionals, IT managers, entrepreneurs, consultants, academic leaders, policymakers, and general business professionals. This diverse audience seeks to understand not only the technical intricacies of AI, but also how to leverage AI to solve real-world business problems, drive innovation, and achieve strategic goals."
,"Dingli, Alexiei and Farrugia, David",,"Explore the inner workings of AI along with its limitations and future developments and create your first transparent and trustworthy neuro-symbolic AI system Purchase of the print or Kindle book includes a free PDF eBookKey FeaturesUnderstand symbolic and statistical techniques through examples and detailed explanationsExplore the potential of neuro-symbolic AI for future developments using case studiesDiscover the benefits of combining symbolic AI with modern neural networks to build transparent and high-performance AI solutionsBook DescriptionNeuro-symbolic AI offers the potential to create intelligent systems that possess both the reasoning capabilities of symbolic AI along with the learning capabilities of neural networks. This book provides an overview of AI and its inner mechanics, covering both symbolic and neural network approaches. You’ll begin by exploring the decline of symbolic AI and the recent neural network revolution, as well as their limitations. The book then delves into the importance of building trustworthy and transparent AI solutions using explainable AI techniques. As you advance, you’ll explore the emerging field of neuro-symbolic AI, which combines symbolic AI and modern neural networks to improve performance and transparency. You’ll also learn how to get started with neuro-symbolic AI using Python with the help of practical examples. In addition, the book covers the most promising technologies in the field, providing insights into the future of AI. Upon completing this book, you will acquire a profound comprehension of neuro-symbolic AI and its practical implications. Additionally, you will cultivate the essential abilities to conceptualize, design, and execute neuro-symbolic AI solutions.What you will learnGain an understanding of the intuition behind neuro-symbolic AIDetermine the correct uses that can benefit from neuro-symbolic AIDifferentiate between types of explainable AI techniquesThink about, design, and implement neuro-symbolic AI solutionsCreate and fine-tune your first neuro-symbolic AI systemExplore the advantages of fusing symbolic AI with modern neural networks in neuro-symbolic AI systemsWho this book is forThis book is ideal for data scientists, machine learning engineers, and AI enthusiasts who want to explore the emerging field of neuro-symbolic AI and discover how to build transparent and trustworthy AI solutions. A basic understanding of AI concepts and familiarity with Python programming are needed to make the most of this book."
,"Kavanagh, Kieran and Vergadia, Priyanka",,"Architect and run real-world AI/ML solutions at scale on Google Cloud, and discover best practices to address common industry challenges effectivelyKey FeaturesUnderstand key concepts, from fundamentals through to complex topics, via a methodical approachBuild real-world end-to-end MLOps solutions and generative AI applications on Google CloudGet your hands on a code repository with over 20 hands-on projects for all stages of the ML model development lifecyclePurchase of the print or Kindle book includes a free PDF eBookBook DescriptionMost companies today are incorporating AI/ML into their businesses. Building and running apps utilizing AI/ML effectively is tough. This book, authored by a principal architect with about two decades of industry experience, who has led cross-functional teams to design, plan, implement, and govern enterprise cloud strategies, shows you exactly how to design and run AI/ML workloads successfully using years of experience from some of the world’s leading tech companies. You’ll get a clear understanding of essential fundamental AI/ML concepts, before moving on to complex topics with the help of examples and hands-on activities. This will help you explore advanced, cutting-edge AI/ML applications that address real-world use cases in today’s market. You’ll recognize the common challenges that companies face when implementing AI/ML workloads, and discover industry-proven best practices to overcome these. The chapters also teach you about the vast AI/ML landscape on Google Cloud and how to implement all the steps needed in a typical AI/ML project. You’ll use services such as BigQuery to prepare data; Vertex AI to train, deploy, monitor, and scale models in production; as well as MLOps to automate the entire process. By the end of this book, you will be able to unlock the full potential of Google Cloud's AI/ML offerings.What you will learnBuild solutions with open-source offerings on Google Cloud, such as TensorFlow, PyTorch, and SparkSource, understand, and prepare data for ML workloadsBuild, train, and deploy ML models on Google CloudCreate an effective MLOps strategy and implement MLOps workloads on Google CloudDiscover common challenges in typical AI/ML projects and get solutions from expertsExplore vector databases and their importance in Generative AI applicationsUncover new Gen AI patterns such as Retrieval Augmented Generation (RAG), agents, and agentic workflowsWho this book is forThis book is for aspiring solutions architects looking to design and implement AI/ML solutions on Google Cloud. Although this book is suitable for both beginners and experienced practitioners, basic knowledge of Python and ML concepts is required. The book focuses on how AI/ML is used in the real world on Google Cloud. It briefly covers the basics at the beginning to establish a baseline for you, but it does not go into depth on the underlying mathematical concepts that are readily available in academic material."
,"Alto, Valentina",,"Transform your professional world with ChatGPT and OpenAI—master prompt design to revolutionize development, marketing, research, and enterprise implementationKey FeaturesTurn ChatGPT into your companion for marketing, research, personal productivity, art and codingLearn prompt engineering techniques that deliver consistent, relevant, and ethical AI-powered resultsBuild custom GPTs and assistants tailored to your specific business needs and workflowsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionPractical Generative AI with ChatGPT is your hands-on guide to unlocking the full potential of ChatGPT. From building AI assistants and mastering prompt engineering to analyzing documents and images and even generating code, this book equips you with the skills to integrate generative AI into your workflow. Written by a technical architect specializing in AI and intelligent applications, this book provides the tools and knowledge you need to streamline tasks, enhance productivity, and create intelligent solutions. You’ll learn how to craft precise prompts, leverage ChatGPT for daily efficiency, and develop custom AI assistants tailored to your needs. The chapters show you how to use ChatGPT’s multimodal capabilities to generate images with DALL·E and even transform images into code. This ChatGPT book goes beyond basic interactions by showing you how to design custom GPTs and integrate OpenAI’s APIs into your applications. You’ll explore how businesses use OpenAI models, from building AI applications, including semantic search, to creating an AI roadmap. Each chapter is packed with practical examples, ensuring you can apply the techniques right away. By the end of this book, you’ll be well equipped to leverage OpenAI's technology for competitive advantage.What you will learnExplore the fundamentals of generative AI and GPT modelsMaster prompt engineering to consistently get relevant and reliable outputs from ChatGPTDevelop marketing strategies and conduct meaningful A/B testing with AI assistanceBoost your coding with code generation, review, and optimizationEnhance research with real-time knowledge miningEnhance your visual creativity with image generation, image understanding, and style transferDesign custom GPTs and assistants tailored to specific business functionsDiscover how enterprises are leveraging large language models for their AI appsWho this book is forThis book is ideal for business professionals, developers, marketers, researchers, and decision-makers who want to leverage AI to enhance productivity. No advanced technical background is required for the foundational sections, making the content accessible to beginners, while later chapters provide depth for technical professionals implementing enterprise solutions. If you’re seeking practical applications of generative AI in business contexts, you’ll find immediate, actionable value in this book."
,"Haigh, Karen and Andrusenko, Julia",,"This comprehensive book gives an overview of how cognitive systems and artificial intelligence (AI) can be used in electronic warfare (EW). Readers will learn how EW systems respond more quickly and effectively to battlefield conditions where sophisticated radars and spectrum congestion put a high priority on EW systems that can characterize and classify novel waveforms, discern intent, and devise and test countermeasures. Specific techniques are covered for optimizing a cognitive EW system as well as evaluating its ability to learn new information in real time. The book presents AI for electronic support (ES), including characterization, classification, patterns of life, and intent recognition. Optimization techniques, including temporal tradeoffs and distributed optimization challenges are also discussed. The issues concerning real-time in-mission machine learning and suggests some approaches to address this important challenge are presented and described. The book covers electronic battle management, data management, and knowledge sharing. Evaluation approaches, including how to show that a machine learning system can learn how to handle novel environments, are also discussed. Written by experts with first-hand experience in AI-based EW, this is the first book on in-mission real-time learning and optimization."
,"Harding, Verity",Artificial intelligence;science;technology;history;space race;satellites;biotech;life sciences;politics;history of science;internet;AI governance;AI ethics;democracy geopolitics;chatgpt;generative ai;AI Needs You: How We Can Change AI's Future and Save Our Own;verity harding;Times 100 AI;how we can safeguard AI’s future for the public good;safe AI: is AI good: is AI bad;how can AI help: AI policy;AI education: AI public good;AI fear: Artificial intelligence;transformative technology;AI’s power grows;technology;society;critical;urgent: social responsibility;better society;harmful;better education;future of AI;societal trust;Silicon Valley;Large Language Models (LLMs);ChatGPT;Bing;Google;Space Race;United Nations Outer Space Treaty 1967;Cold War;IVF (in vitro fertilization);Louise Joy Brown;Roe V. Wade;Embryo research/human embryology;Chatbot;DeepMind;Online security;OpenAI;Atomic Bomb;Oppenheimer;AI Bill of Rights;Warnock Commission;AI regulation,"A humanist manifesto for the age of AIArtificial intelligence may be the most transformative technology of our time. As AI’s power grows, so does the need to figure out what—and who—this technology is really for. AI Needs You argues that it is critical for society to take the lead in answering this urgent question and ensuring that AI fulfills its promise.Verity Harding draws inspiring lessons from the histories of three twentieth-century tech revolutions—the space race, in vitro fertilization, and the internet—to empower each of us to join the conversation about AI and its possible futures. Sharing her perspective as a leading insider in technology and politics, she rejects the dominant narrative, which often likens AI’s advent to that of the atomic bomb. History points the way to an achievable future in which democratically determined values guide AI to be peaceful in its intent; to embrace limitations; to serve purpose, not profit; and to be firmly rooted in societal trust.AI Needs You gives us hope that we, the people, can imbue AI with a deep intentionality that reflects our best values, ideals, and interests, and that serves the public good. AI will permeate our lives in unforeseeable ways, but it is clear that the shape of AI’s future—and of our own—cannot be left only to those building it. It is up to us to guide this technology away from our worst fears and toward a future that we can trust and believe in."
,"Bratsis, Irene",,"Whether you're a seasoned professional or a newcomer to the world of AI product management, this is your definitive guide. Embark on a transformative journey into the future of intelligent product management.Key FeaturesChart a successful career path in the AI product management field Packed with real-world examples, practical insights, and actionable strategiesNavigate the complexities of AI product development and evolve your existing products Book DescriptionThis book will provide you with a detailed roadmap for successfully building, maintaining, and evolving artificial intelligence (AI)-driven products, serving as an indispensable companion on your journey to becoming an effective AI PM. We'll explore the AI landscape, demystify complex terms, and walk you through infrastructure, algorithms, and deployment strategies. You’ll master essential skills to understand the optimal flow of AI processes, learn about the product development life cycle from ideation to deployment, and familiarize yourself with commonly used model development techniques. We'll discuss the intricacies of building products natively with AI, as well as evolving traditional software product to AI products. Regardless of your use case, we’ll show you how you can craft compelling stories to captivate your audience. We'll help you find the right balance between foundational product design elements and the unique aspects of managing AI products, so you can prioritize wisely. We’ll also explore career considerations for AI PMs. By the end of this book, you will understand the importance of AI integration and be able to explore emerging AI/ML models like Generative AI and LLMs. You’ll discover open-source capabilities and best practices for ideating, building, and deploying AI products across verticals.What you will learnPlan your AI PM roadmap and navigate your career with clarity and confidenceGain a foundational understanding of AI/ML capabilitiesAlign your product strategy, nurture your team, and navigate the ongoing challenges of cost, tech, compliance, and risk managementIdentify pitfalls and green flags for optimal commercializationSeparate hype from reality and identify quick wins for AI enablement and GenAIUnderstand how to develop and manage both native and evolving AI productsBenchmark product success from a holistic perspectiveWho this book is forThis book is for aspiring and experienced product managers, as well as other professionals interested in incorporating AI into their products. Foundational knowledge of AI is expected and reinforced. If you are looking to better understand machine learning principles and data science methodologies, you will benefit from this book, particularly if you’re in a role where the application of AI/ML directly influences marketing outcomes and business strategies."
,Auffarth,,"2024 Edition – Get to grips with the LangChain framework to develop production-ready applications, including agents and personal assistants. The 2024 edition features updated code examples and an improved GitHub repository. Purchase of the print or Kindle book includes a free PDF eBook. Key FeaturesLearn how to leverage LangChain to work around LLMs’ inherent weaknessesDelve into LLMs with LangChain and explore their fundamentals, ethical dimensions, and application challengesGet better at using ChatGPT and GPT models, from heuristics and training to scalable deployment, empowering you to transform ideas into realityBook DescriptionChatGPT and the GPT models by OpenAI have brought about a revolution not only in how we write and research but also in how we can process information. This book discusses the functioning, capabilities, and limitations of LLMs underlying chat systems, including ChatGPT and Gemini. It demonstrates, in a series of practical examples, how to use the LangChain framework to build production-ready and responsive LLM applications for tasks ranging from customer support to software development assistance and data analysis – illustrating the expansive utility of LLMs in real-world applications. Unlock the full potential of LLMs within your projects as you navigate through guidance on fine-tuning, prompt engineering, and best practices for deployment and monitoring in production environments. Whether you're building creative writing tools, developing sophisticated chatbots, or crafting cutting-edge software development aids, this book will be your roadmap to mastering the transformative power of generative AI with confidence and creativity.What you will learnCreate LLM apps with LangChain, like question-answering systems and chatbotsUnderstand transformer models and attention mechanismsAutomate data analysis and visualization using pandas and PythonGrasp prompt engineering to improve performanceFine-tune LLMs and get to know the tools to unleash their powerDeploy LLMs as a service with LangChain and apply evaluation strategiesPrivately interact with documents using open-source LLMs to prevent data leaksWho this book is forThe book is for developers, researchers, and anyone interested in learning more about LangChain. Whether you are a beginner or an experienced developer, this book will serve as a valuable resource if you want to get the most out of LLMs using LangChain. Basic knowledge of Python is a prerequisite, while prior exposure to machine learning will help you follow along more easily."
,"Weaver-Lambert, Lisa",,"Learn from real-world examples how leveraging AI, including machine learning and generative AI, is imperative for businesses to navigate risk, drive value, and gain a competitive advantageKey FeaturesUnderstand machine learning and generative AI terminology, concepts, and the AI technology stack.Learn from diverse real-world case studies narrated by business leaders in their own voice.Apply a value-driven approach to AI applications across multiple business sectors.Book DescriptionBusiness leaders are challenged by the speed of AI innovation and how to navigate disruption and uncertainty. This book is a crucial resource for those who want to understand how to leverage AI to drive business value, drawn from the firsthand experience of those who have been implementing this technology successfully. The AI Value Playbook focuses on questions frequently posed by leaders and boards. How can businesses adapt to these emerging technologies? How can they start building and deploying AI as a strategic asset to drive efficiency? What risks or threats need to be considered? How quickly can value be created? This book is a response to those demands. In a series of in-depth and wide-ranging conversations with practitioners, from CEOs leading new generative AI-based companies to Data Scientists and CFOs working in more traditional companies. Our experts share their hard-earned wisdom, talking candidly about their successes and failures, and what excites them about the future. These interviews offer unique insights for business leaders to apply to their own organizations. The book distils a value-driven playbook for how AI can be put to work today.What you will learnFundamentals of AI concepts and the tech stackHow AI works with real-world practical applicationsHow to integrate into your company's overall strategyHow to incorporate generative AI in your processesHow to drive value with sector-wide examplesHow to organize an AI-driven operating modelHow to use AI for competitive advantageThe dos and don'ts of AI applicationWho this book is forThe AI Value Playbook is aimed at supporting non-technical executives and board members to quickly formulate a perspective on how to integrate AI. This book addresses the gap in data and AI knowledge in leadership teams that have an appetite for nuanced, targeted and practical solutions. It includes which levers and processes to consider to future-proof their business. It speaks to an audience interested in understanding how AI can drive value for their organisations."
,"Bustos, Juan Pablo and Soria, Luis Lopez and Arsanjani, Dr. Ali",,"Unleash the transformative potential of GenAI with this comprehensive guide that serves as an indispensable roadmap for integrating large language models into real-world applications. Gain invaluable insights into identifying compelling use cases, leveraging state-of-the-art models effectively, deploying these models into your applications at scale, and navigating ethical considerations.Key FeaturesGet familiar with the most important tools and concepts used in real scenarios to design GenAI appsInteract with GenAI models to tailor model behavior to minimize hallucinationsGet acquainted with a variety of strategies and an easy to follow 4 step frameworks for integrating GenAI into applicationsBook DescriptionExplore the transformative potential of GenAI in the application development lifecycle. Through concrete examples, you will go through the process of ideation and integration, understanding the tradeoffs and the decision points when integrating GenAI. With recent advances in models like Google Gemini, Anthropic Claude, DALL-E and GPT-4o, this timely resource will help you harness these technologies through proven design patterns. We then delve into the practical applications of GenAI, identifying common use cases and applying design patterns to address real-world challenges. From summarization and metadata extraction to intent classification and question answering, each chapter offers practical examples and blueprints for leveraging GenAI across diverse domains and tasks. You will learn how to fine-tune models for specific applications, progressing from basic prompting to sophisticated strategies such as retrieval augmented generation (RAG) and chain of thought. Additionally, we provide end-to-end guidance on operationalizing models, including data prep, training, deployment, and monitoring. We also focus on responsible and ethical development techniques for transparency, auditing, and governance as crucial design patterns.What you will learnConcepts of GenAI: pre-training, fine-tuning, prompt engineering, and RAGFramework for integrating AI: entry points, prompt pre-processing, inference, post-processing, and presentationPatterns for batch and real-time integrationCode samples for metadata extraction, summarization, intent classification, question-answering with RAG, and moreEthical use: bias mitigation, data privacy, and monitoringDeployment and hosting options for GenAI modelsWho this book is forThis book is not an introduction to AI/ML or Python. It offers practical guides for designing, building, and deploying GenAI applications in production. While all readers are welcome, those who benefit most include: Developer engineers with foundational tech knowledge Software architects seeking best practices and design patterns Professionals using ML for data science, research, etc., who want a deeper understanding of Generative AI Technical product managers with a software development background This concise focus ensures practical, actionable insights for experienced professionals"
,"Hwang, Yoon Hyup and Burtch, Nicholas C.",,"Start transforming your data-driven marketing strategies and increasing customer engagement. Learn how to create compelling marketing content using advanced gen AI techniques and stay in touch with the future AI ML landscape. Purchase of the print or Kindle book includes a free eBook in PDF formatKey FeaturesEnhance customer engagement and personalization through predictive analytics and advanced segmentation techniquesCombine Python programming with the latest advancements in generative AI to create marketing content and address real-world marketing challengesUnderstand cutting-edge AI concepts and their responsible use in marketingBook DescriptionIn the dynamic world of marketing, the integration of artificial intelligence (AI) and machine learning (ML) is no longer just an advantage—it's a necessity. Moreover, the rise of generative AI (GenAI) helps with the creation of highly personalized, engaging content that resonates with the target audience. This book provides a comprehensive toolkit for harnessing the power of GenAI to craft marketing strategies that not only predict customer behaviors but also captivate and convert, leading to improved cost per acquisition, boosted conversion rates, and increased net sales. Starting with the basics of Python for data analysis and progressing to sophisticated ML and GenAI models, this book is your comprehensive guide to understanding and applying AI to enhance marketing strategies. Through engaging content \& hands-on examples, you'll learn how to harness the capabilities of AI to unlock deep insights into customer behaviors, craft personalized marketing messages, and drive significant business growth. Additionally, you'll explore the ethical implications of AI, ensuring that your marketing strategies are not only effective but also responsible and compliant with current standards By the conclusion of this book, you'll be equipped to design, launch, and manage marketing campaigns that are not only successful but also cutting-edge.What you will learnMaster key marketing KPIs with advanced computational techniquesUse explanatory data analysis to drive marketing decisionsLeverage ML models to predict customer behaviors, engagement levels, and customer lifetime valueEnhance customer segmentation with ML and develop highly personalized marketing campaignsDesign and execute effective A/B tests to optimize your marketing decisionsApply natural language processing (NLP) to analyze customer feedback and sentimentsIntegrate ethical AI practices to maintain privacy in data-driven marketing strategiesWho this book is forThis book targets a diverse group of professionals: Data scientists and analysts in the marketing domain looking to apply advanced AI ML techniques to solve real-world marketing challenges Machine learning engineers and software developers aiming to build or integrate AI-driven tools and applications for marketing purposes Marketing professionals, business leaders, and entrepreneurs who must understand the impact of AI on marketing Reader are presumed to have a foundational proficiency in Python and a basic to intermediate grasp of ML principles and data science methodologies"
